No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
9,Pregunta de única respuesta. Tienes una reunión con la empresa CeluStar  ¿qué elemento del efecto halo influye más en la primera impresión?,3.0,Los antecedentes académicos del consultor,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
10,"Pregunta de única respuesta. Si un líder presenta información de forma clara, breve y respaldada por evidencia, ¿qué sesgo está aplicando?",1.0,Sesgo de familiaridad,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
10,"Pregunta de única respuesta. Si un líder presenta información de forma clara, breve y respaldada por evidencia, ¿qué sesgo está aplicando?",2.0,Sesgo de coherencia,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
10,"Pregunta de única respuesta. Si un líder presenta información de forma clara, breve y respaldada por evidencia, ¿qué sesgo está aplicando?",3.0,Sesgo de autoridad,VERDADERO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
11,Pregunta de única respuesta. ¿Qué aspecto demuestra coherencia visual en una presentación corporativa?,1.0,Vestir con colores muy llamativos y texturas diversas,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
11,Pregunta de única respuesta. ¿Qué aspecto demuestra coherencia visual en una presentación corporativa?,2.0,Usar accesorios grandes y vistosos para destacar,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
11,Pregunta de única respuesta. ¿Qué aspecto demuestra coherencia visual en una presentación corporativa?,3.0,"Utilizar colores neutros, vestimenta cuidada y postura profesional",VERDADERO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
12,"Pregunta de única respuetsa. Durante un encuentro con un cliente nuevo, ¿cuál de estas prácticas activa el “Ritual Halo”?",1.0,Improvisar la conversación para parecer natural,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
12,"Pregunta de única respuetsa. Durante un encuentro con un cliente nuevo, ¿cuál de estas prácticas activa el “Ritual Halo”?",2.0,"Cuidar la postura, la respiración y la intención antes de hablar",VERDADERO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
12,"Pregunta de única respuetsa. Durante un encuentro con un cliente nuevo, ¿cuál de estas prácticas activa el “Ritual Halo”?",3.0,Usar tecnicismos para demostrar conocimiento,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
13,"Pregunta de única respuesta. Según el sesgo de familiaridad, ¿cuál es la mejor forma de conectar con un cliente corporativo?",1.0,Mostrar valores o experiencias reales en común,VERDADERO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
13,"Pregunta de única respuesta. Según el sesgo de familiaridad, ¿cuál es la mejor forma de conectar con un cliente corporativo?",2.0,Repetir constantemente el nombre del cliente,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
13,"Pregunta de única respuesta. Según el sesgo de familiaridad, ¿cuál es la mejor forma de conectar con un cliente corporativo?",3.0,Evitar hablar de temas personales o de cultura empresarial,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
14,Pregunta de única respuesta. Una consultora crea una presentación donde destaca tres ideas con tres datos reales que las respaldan. ¿Qué regla está aplicando?,1.0,Regla del 3x3,VERDADERO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
14,Pregunta de única respuesta. Una consultora crea una presentación donde destaca tres ideas con tres datos reales que las respaldan. ¿Qué regla está aplicando?,2.0,Regla de los cinco pasos,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
14,Pregunta de única respuesta. Una consultora crea una presentación donde destaca tres ideas con tres datos reales que las respaldan. ¿Qué regla está aplicando?,3.0,Regla 2x2,FALSO,Directos,Marca Profesional,Otros Ingresos,,Directos,PYME
15,"Pregunta de única respuesta. Creativa360 SAS, una agencia de marketing digital, busca alojar sus aplicaciones sin invertir en infraestructura física ni contratar personal técnico especializado. ¿Qué solución de Claro AWS es más adecuada?",1.0,Outsourcing,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
15,"Pregunta de única respuesta. Creativa360 SAS, una agencia de marketing digital, busca alojar sus aplicaciones sin invertir en infraestructura física ni contratar personal técnico especializado. ¿Qué solución de Claro AWS es más adecuada?",2.0,Capacity,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
15,"Pregunta de única respuesta. Creativa360 SAS, una agencia de marketing digital, busca alojar sus aplicaciones sin invertir en infraestructura física ni contratar personal técnico especializado. ¿Qué solución de Claro AWS es más adecuada?",3.0,Servidores Ligeros,VERDADERO,Directos,AWS,Cloud Saas,,Directos,PYME
16,Pregunta de única respuesta. Logística Express SAS tiene operaciones sensibles y quiere garantizar la continuidad de sus sistemas ante fallos técnicos o desastres naturales. ¿Qué solución deberías recomendar?,1.0,Transfer Billing,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
16,Pregunta de única respuesta. Logística Express SAS tiene operaciones sensibles y quiere garantizar la continuidad de sus sistemas ante fallos técnicos o desastres naturales. ¿Qué solución deberías recomendar?,2.0,Recuperación de Desastres,VERDADERO,Directos,AWS,Cloud Saas,,Directos,PYME
16,Pregunta de única respuesta. Logística Express SAS tiene operaciones sensibles y quiere garantizar la continuidad de sus sistemas ante fallos técnicos o desastres naturales. ¿Qué solución deberías recomendar?,3.0,Página Web,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
17,Pregunta de única respuesta. Gestión Vital SAS busca automatizar tareas internas para reducir errores humanos y mejorar la eficiencia operativa. ¿Qué solución de Claro AWS deberías ofrecer?,1.0,BPO como servicio,VERDADERO,Directos,AWS,Cloud Saas,,Directos,PYME
17,Pregunta de única respuesta. Gestión Vital SAS busca automatizar tareas internas para reducir errores humanos y mejorar la eficiencia operativa. ¿Qué solución de Claro AWS deberías ofrecer?,2.0,Oracle,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
17,Pregunta de única respuesta. Gestión Vital SAS busca automatizar tareas internas para reducir errores humanos y mejorar la eficiencia operativa. ¿Qué solución de Claro AWS deberías ofrecer?,3.0,Azure,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
18,Pregunta de única respuesta. Analytika Pro SAS maneja grandes volúmenes de datos no estructurados y necesita convertirlos en información útil para decisiones estratégicas. ¿Qué agente de Claro AWS es el más adecuado?,1.0,CEA (Customer Engagement Agent),FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
18,Pregunta de única respuesta. Analytika Pro SAS maneja grandes volúmenes de datos no estructurados y necesita convertirlos en información útil para decisiones estratégicas. ¿Qué agente de Claro AWS es el más adecuado?,2.0,IPA (Intelligent Processing Agent),FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
18,Pregunta de única respuesta. Analytika Pro SAS maneja grandes volúmenes de datos no estructurados y necesita convertirlos en información útil para decisiones estratégicas. ¿Qué agente de Claro AWS es el más adecuado?,3.0,DIA (Data Information Agent),VERDADERO,Directos,AWS,Cloud Saas,,Directos,PYME
19,"Pregunta de única respuesta. Consultoría Legal Integral SAS tiene servidores locales donde almacena expedientes digitales, pero recientemente sufrió una pérdida de datos por falla eléctrica. Quieren una solución que les permita tener copias de seguridad automatizadas en la nube. ¿Qué servicio de Claro AWS deberías recomendar?",1.0,Claro Directo,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
19,"Pregunta de única respuesta. Consultoría Legal Integral SAS tiene servidores locales donde almacena expedientes digitales, pero recientemente sufrió una pérdida de datos por falla eléctrica. Quieren una solución que les permita tener copias de seguridad automatizadas en la nube. ¿Qué servicio de Claro AWS deberías recomendar?",2.0,Servicios de almacenamiento y respaldo en la nube,VERDADERO,Directos,AWS,Cloud Saas,,Directos,PYME
19,"Pregunta de única respuesta. Consultoría Legal Integral SAS tiene servidores locales donde almacena expedientes digitales, pero recientemente sufrió una pérdida de datos por falla eléctrica. Quieren una solución que les permita tener copias de seguridad automatizadas en la nube. ¿Qué servicio de Claro AWS deberías recomendar?",3.0,Transfer Billing,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
20,Pregunta de única respuesta. Innovación Textil SAS lanza colecciones cada mes y necesita reducir el tiempo que tarda en implementar nuevas funcionalidades en su plataforma de ventas. ¿Cuál de los beneficios de AWS deberías destacar en tu conversación comercial?,1.0,Time to Market más rápido para nuevas funcionalidades,VERDADERO,Directos,AWS,Cloud Saas,,Directos,PYME
20,Pregunta de única respuesta. Innovación Textil SAS lanza colecciones cada mes y necesita reducir el tiempo que tarda en implementar nuevas funcionalidades en su plataforma de ventas. ¿Cuál de los beneficios de AWS deberías destacar en tu conversación comercial?,2.0,Menor variedad de zonas de disponibilidad,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
20,Pregunta de única respuesta. Innovación Textil SAS lanza colecciones cada mes y necesita reducir el tiempo que tarda en implementar nuevas funcionalidades en su plataforma de ventas. ¿Cuál de los beneficios de AWS deberías destacar en tu conversación comercial?,3.0,Aumento de caídas en sistemas IT,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
21,"Pregunta de única respuesta. En una reunión con “Papelería Moderna”, el gerente menciona que su equipo pierde tiempo en tareas repetitivas como responder correos y procesar pedidos. ¿Qué solución de Claro AWS puede ayudarle?",1.0,Contratación de más personal administrativo,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
21,"Pregunta de única respuesta. En una reunión con “Papelería Moderna”, el gerente menciona que su equipo pierde tiempo en tareas repetitivas como responder correos y procesar pedidos. ¿Qué solución de Claro AWS puede ayudarle?",2.0,Compra de archivadores metálicos para organizar mejor,FALSO,Directos,AWS,Cloud Saas,,Directos,PYME
21,"Pregunta de única respuesta. En una reunión con “Papelería Moderna”, el gerente menciona que su equipo pierde tiempo en tareas repetitivas como responder correos y procesar pedidos. ¿Qué solución de Claro AWS puede ayudarle?",3.0,Orquestación de Procesos de Negocio (BPO) con agentes inteligentes,VERDADERO,Directos,AWS,Cloud Saas,,Directos,PYME
1,"Pregunta única respuesta. Laura, consultora B2B, quiere aumentar su alcance en el sector tecnológico. Está dudando entre invertir tiempo en Facebook o LinkedIn.
¿Cuál sería la mejor opción y por qué?
¿Cuál sería la mejor opción y por qué?",1.0,"Facebook, porque tiene más usuarios activos.",FALSA,Directos,Social Selling,,,Directos,PYME
1,"Pregunta única respuesta. Laura, consultora B2B, quiere aumentar su alcance en el sector tecnológico. Está dudando entre invertir tiempo en Facebook o LinkedIn.
¿Cuál sería la mejor opción y por qué?
¿Cuál sería la mejor opción y por qué?",2.0,"LinkedIn, porque el engagement en tecnología triplica al de Facebook.",VERDADERA,Directos,Social Selling,,,Directos,PYME
1,"Pregunta única respuesta. Laura, consultora B2B, quiere aumentar su alcance en el sector tecnológico. Está dudando entre invertir tiempo en Facebook o LinkedIn.
¿Cuál sería la mejor opción y por qué?
¿Cuál sería la mejor opción y por qué?",3.0,"Facebook, porque permite publicar fotos más atractivas.",FALSA,Directos,Social Selling,,,Directos,PYME
2,"Pregunta única respuesta. Pedro actualizó su perfil en LinkedIn, pero no recibe solicitudes de conexión. Su foto es oscura y el banner está vacío.
¿Qué debería mejorar primero?
¿Qué debería mejorar primero?",1.0,"Foto con fondo neutro, buena iluminación y expresión cercana.",VERDADERA,Directos,Social Selling,,,Directos,PYME
2,"Pregunta única respuesta. Pedro actualizó su perfil en LinkedIn, pero no recibe solicitudes de conexión. Su foto es oscura y el banner está vacío.
¿Qué debería mejorar primero?
¿Qué debería mejorar primero?",2.0,Usar ropa informal para mostrar autenticidad.,FALSA,Directos,Social Selling,,,Directos,PYME
2,"Pregunta única respuesta. Pedro actualizó su perfil en LinkedIn, pero no recibe solicitudes de conexión. Su foto es oscura y el banner está vacío.
¿Qué debería mejorar primero?
¿Qué debería mejorar primero?",3.0,Dejar el banner vacío para no distraer.,FALSA,Directos,Social Selling,,,Directos,PYME
3,"Pregunta única respuesta. Ana redactó su titular en LinkedIn: “Consultora Comercial en Claro”. Sin embargo, no genera interés en prospectos.
¿Cómo debería redactarlo?
¿Cómo debería redactarlo?",1.0,Quién eres y tu cargo actual.,FALSA,Directos,Social Selling,,,Directos,PYME
3,"Pregunta única respuesta. Ana redactó su titular en LinkedIn: “Consultora Comercial en Claro”. Sin embargo, no genera interés en prospectos.
¿Cómo debería redactarlo?
¿Cómo debería redactarlo?",2.0,Solo tu experiencia académica.,FALSA,Directos,Social Selling,,,Directos,PYME
3,"Pregunta única respuesta. Ana redactó su titular en LinkedIn: “Consultora Comercial en Claro”. Sin embargo, no genera interés en prospectos.
¿Cómo debería redactarlo?
¿Cómo debería redactarlo?",3.0,Qué problema solucionas y para quién.,VERDADERA,Directos,Social Selling,,,Directos,PYME
4,"Pregunta única respuesta. Carlos quiere posicionarse como experto en LinkedIn. Publica contenido una vez al mes, pero no ve resultados.
¿Cuál es la frecuencia recomendada?
¿Cuál es la frecuencia recomendada?",1.0,Dos veces por semana (aprendizaje + evidencia).,VERDADERA,Directos,Social Selling,,,Directos,PYME
4,"Pregunta única respuesta. Carlos quiere posicionarse como experto en LinkedIn. Publica contenido una vez al mes, pero no ve resultados.
¿Cuál es la frecuencia recomendada?
¿Cuál es la frecuencia recomendada?",2.0,Todos los días para mayor visibilidad.,FALSA,Directos,Social Selling,,,Directos,PYME
4,"Pregunta única respuesta. Carlos quiere posicionarse como experto en LinkedIn. Publica contenido una vez al mes, pero no ve resultados.
¿Cuál es la frecuencia recomendada?
¿Cuál es la frecuencia recomendada?",3.0,Una vez al mes.,FALSA,Directos,Social Selling,,,Directos,PYME
5,"Pregunta única respuesta. En una negociación, el CEO pregunta por el impacto y la seguridad de la solución.
¿Qué rol representa?
¿Qué rol representa?",1.0,Usuario,FALSA,Directos,Social Selling,,,Directos,PYME
5,"Pregunta única respuesta. En una negociación, el CEO pregunta por el impacto y la seguridad de la solución.
¿Qué rol representa?
¿Qué rol representa?",2.0,Influenciador,FALSA,Directos,Social Selling,,,Directos,PYME
5,"Pregunta única respuesta. En una negociación, el CEO pregunta por el impacto y la seguridad de la solución.
¿Qué rol representa?
¿Qué rol representa?",3.0,Decisor,VERDADERA,Directos,Social Selling,,,Directos,PYME
6,"Pregunta única respuesta, María envió mensajes a varios contactos en LinkedIn, pero no obtiene respuesta. Descubre que escribió lo mismo para todos.  ¿Cuál es el error más común?",1.0,No incluir emojis en el mensaje.,FALSA,Directos,Social Selling,,,Directos,PYME
6,"Pregunta única respuesta, María envió mensajes a varios contactos en LinkedIn, pero no obtiene respuesta. Descubre que escribió lo mismo para todos.  ¿Cuál es el error más común?",2.0,Enviarlos al rol correcto con el mensaje equivocado.,VERDADERA,Directos,Social Selling,,,Directos,PYME
6,"Pregunta única respuesta, María envió mensajes a varios contactos en LinkedIn, pero no obtiene respuesta. Descubre que escribió lo mismo para todos.  ¿Cuál es el error más común?",3.0,Enviarlos al rol incorrecto con el mensaje correcto.,FALSA,Directos,Social Selling,,,Directos,PYME
7,"Pregunta única respuesta. Un consultor publica contenido una sola vez y espera que lo recuerden.
Pregunta: ¿Por qué necesita visibilidad constante?
Pregunta: ¿Por qué necesita visibilidad constante?",1.0,"Porque el cliente recuerda lo que ve con frecuencia, no lo que ve una sola vez.",VERDADERA,Directos,Social Selling,,,Directos,PYME
7,"Pregunta única respuesta. Un consultor publica contenido una sola vez y espera que lo recuerden.
Pregunta: ¿Por qué necesita visibilidad constante?
Pregunta: ¿Por qué necesita visibilidad constante?",2.0,Porque el algoritmo premia publicaciones diarias.,FALSA,Directos,Social Selling,,,Directos,PYME
7,"Pregunta única respuesta. Un consultor publica contenido una sola vez y espera que lo recuerden.
Pregunta: ¿Por qué necesita visibilidad constante?
Pregunta: ¿Por qué necesita visibilidad constante?",3.0,Porque aumenta el número de seguidores automáticamente.,FALSA,Directos,Social Selling,,,Directos,PYME
8,Pregunta de única respuesta. La empresa Siluetas te pregunta: ¿Cuál es el intervalo promedio que tienen los atacantes para explotar una vulnerabilidad antes de que el defensor la detecte?,1.0,30 días,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
8,Pregunta de única respuesta. La empresa Siluetas te pregunta: ¿Cuál es el intervalo promedio que tienen los atacantes para explotar una vulnerabilidad antes de que el defensor la detecte?,2.0,7 días,VERDADERA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
8,Pregunta de única respuesta. La empresa Siluetas te pregunta: ¿Cuál es el intervalo promedio que tienen los atacantes para explotar una vulnerabilidad antes de que el defensor la detecte?,3.0,15 días,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
9,Pregunta de única respuesta. ¿Qué porcentaje de vulnerabilidades explotadas tenían más de un año de haber sido publicadas?,1.0,50%,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
9,Pregunta de única respuesta. ¿Qué porcentaje de vulnerabilidades explotadas tenían más de un año de haber sido publicadas?,2.0,75%,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
9,Pregunta de única respuesta. ¿Qué porcentaje de vulnerabilidades explotadas tenían más de un año de haber sido publicadas?,3.0,99.9%,VERDADERA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
10,"Pregunta de única respuesta. la empresa Sellos Importados quiere saber ¿Cuál es el objetivo principal del servicio de Análisis de Vulnerabilidades (AVN), tu que le dirias? ",1.0,"Identificar, clasificar y priorizar debilidades técnicas ",VERDADERA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
10,"Pregunta de única respuesta. la empresa Sellos Importados quiere saber ¿Cuál es el objetivo principal del servicio de Análisis de Vulnerabilidades (AVN), tu que le dirias? ",2.0,Instalar antivirus en todos los equipos,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
10,"Pregunta de única respuesta. la empresa Sellos Importados quiere saber ¿Cuál es el objetivo principal del servicio de Análisis de Vulnerabilidades (AVN), tu que le dirias? ",3.0,Eliminar automáticamente todas las vulnerabilidades,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
11,Pregunta de única respuesta. La empresa GCR quiere saber ¿Qué incluye el paquete AVN “Uno y Uno”?,1.0,Dos escaneos y dos retests,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
11,Pregunta de única respuesta. La empresa GCR quiere saber ¿Qué incluye el paquete AVN “Uno y Uno”?,2.0,Un escaneo y un retest ,VERDADERA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
11,Pregunta de única respuesta. La empresa GCR quiere saber ¿Qué incluye el paquete AVN “Uno y Uno”?,3.0,Dos escaneos y un retest,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
12,Pregunta de única respuesta. La empresa Audiovisual Arte Pro te pregunta qué tipo de reportes entrega el servicio AVN?,1.0,Reporte técnico en inglés y reporte ejecutivo en español,VERDADERA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
12,Pregunta de única respuesta. La empresa Audiovisual Arte Pro te pregunta qué tipo de reportes entrega el servicio AVN?,2.0,Solo reportes técnicos en español,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
12,Pregunta de única respuesta. La empresa Audiovisual Arte Pro te pregunta qué tipo de reportes entrega el servicio AVN?,3.0,Reportes únicamente en formato gráfico sin texto,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
13,Pregunta de única respuesta. ¿Cuál es el requisito mínimo de activos/IPs para contratar el servicio AVN?,1.0,5 IPs,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
13,Pregunta de única respuesta. ¿Cuál es el requisito mínimo de activos/IPs para contratar el servicio AVN?,2.0,20 IPs,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
13,Pregunta de única respuesta. ¿Cuál es el requisito mínimo de activos/IPs para contratar el servicio AVN?,3.0,10 IPs,VERDADERA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
14,Pregunta de única respuesta. ¿Cuál es la duración del servicio para el paquete AVN “Dos y Dos”?,1.0,6 meses,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
14,Pregunta de única respuesta. ¿Cuál es la duración del servicio para el paquete AVN “Dos y Dos”?,2.0,24 meses,FALSA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
14,Pregunta de única respuesta. ¿Cuál es la duración del servicio para el paquete AVN “Dos y Dos”?,3.0,12 meses,VERDADERA,Directos,Analisis de Vulnerabilidades,,,Directos,PYME
15,"Pregunta de única respuesta. Un banco regional necesita implementar Correo Seguro para proteger sus comunicaciones financieras. Durante el proceso de venta, ¿qué opciones de licencia debe considerar el comercial?",1.0,Básico y Empresarial,FALSA,Directos,Correo Seguro,,,Directos,PYME
15,"Pregunta de única respuesta. Un banco regional necesita implementar Correo Seguro para proteger sus comunicaciones financieras. Durante el proceso de venta, ¿qué opciones de licencia debe considerar el comercial?",2.0,Estándar y Premium,FALSA,Directos,Correo Seguro,,,Directos,PYME
15,"Pregunta de única respuesta. Un banco regional necesita implementar Correo Seguro para proteger sus comunicaciones financieras. Durante el proceso de venta, ¿qué opciones de licencia debe considerar el comercial?",3.0,Básico y Avanzado,VERDADERA,Directos,Correo Seguro,,,Directos,PYME
16,"Pregunta de única respuesta. Una firma de abogados corporativos con oficinas en 3 ciudades adquiere el producto de Correo Seguro, el consultor requiere legalizar la venta. ¿A qué dirección debe enviar la documentación el comercial?",1.0,digitacion.co@claro.com.co,FALSA,Directos,Correo Seguro,,,Directos,PYME
16,"Pregunta de única respuesta. Una firma de abogados corporativos con oficinas en 3 ciudades adquiere el producto de Correo Seguro, el consultor requiere legalizar la venta. ¿A qué dirección debe enviar la documentación el comercial?",2.0,legalizacion.co@claro.com.co,VERDADERA,Directos,Correo Seguro,,,Directos,PYME
16,"Pregunta de única respuesta. Una firma de abogados corporativos con oficinas en 3 ciudades adquiere el producto de Correo Seguro, el consultor requiere legalizar la venta. ¿A qué dirección debe enviar la documentación el comercial?",3.0,soporte.co@claro.com.co,FALSA,Directos,Correo Seguro,,,Directos,PYME
17,Pregunta de única respuesta. Una cadena hospitalaria implementa Correo Seguro para proteger datos de pacientes. ¿Cuál de estas actividades NO es parte del proceso de implementación?,1.0,Validaciones administrativas de riesgo y cartera,FALSA,Directos,Correo Seguro,,,Directos,PYME
17,Pregunta de única respuesta. Una cadena hospitalaria implementa Correo Seguro para proteger datos de pacientes. ¿Cuál de estas actividades NO es parte del proceso de implementación?,2.0,Generación de incidente de venta y OT,FALSA,Directos,Correo Seguro,,,Directos,PYME
17,Pregunta de única respuesta. Una cadena hospitalaria implementa Correo Seguro para proteger datos de pacientes. ¿Cuál de estas actividades NO es parte del proceso de implementación?,3.0,Desarrollo del software médico personalizado,VERDADERA,Directos,Correo Seguro,,,Directos,PYME
18,Pregunta de única respuesta. Una empresa de energía con directivos expuestos a ciberataques necesita proteger buzones específicos. ¿Qué debe hacer?,1.0,Contratar el servicio Avanzado exclusivamente,FALSA,Directos,Correo Seguro,,,Directos,PYME
18,Pregunta de única respuesta. Una empresa de energía con directivos expuestos a ciberataques necesita proteger buzones específicos. ¿Qué debe hacer?,2.0,Informar los BEC (Buzones de Alta Exposición al Ciberriesgo),VERDADERA,Directos,Correo Seguro,,,Directos,PYME
18,Pregunta de única respuesta. Una empresa de energía con directivos expuestos a ciberataques necesita proteger buzones específicos. ¿Qué debe hacer?,3.0,Realizar una solicitud de cambio formal,FALSA,Directos,Correo Seguro,,,Directos,PYME
19,Pregunta de única respuesta. Una universidad privada firma el contrato de Correo Seguro mediante Docusign. ¿Qué acción sigue para el comercial?,1.0,Configurar personalmente el servicio en la nube,FALSA,Directos,Correo Seguro,,,Directos,PYME
19,Pregunta de única respuesta. Una universidad privada firma el contrato de Correo Seguro mediante Docusign. ¿Qué acción sigue para el comercial?,2.0,Realizar pruebas de seguridad académicas,FALSA,Directos,Correo Seguro,,,Directos,PYME
19,Pregunta de única respuesta. Una universidad privada firma el contrato de Correo Seguro mediante Docusign. ¿Qué acción sigue para el comercial?,3.0,Enviar documentación a digitacion.co@claro.com.co para digitación de OT,VERDADERA,Directos,Correo Seguro,,,Directos,PYME
20,Pregunta de única respuesta. Una empresa farmacéutica necesita capacidades de administración limitada en Correo Seguro. ¿Qué alcance tiene su usuario administrador?,1.0,Acceso total a la configuración del servidor,FALSA,Directos,Correo Seguro,,,Directos,PYME
20,Pregunta de única respuesta. Una empresa farmacéutica necesita capacidades de administración limitada en Correo Seguro. ¿Qué alcance tiene su usuario administrador?,2.0,Modificación de políticas de seguridad globales,FALSA,Directos,Correo Seguro,,,Directos,PYME
20,Pregunta de única respuesta. Una empresa farmacéutica necesita capacidades de administración limitada en Correo Seguro. ¿Qué alcance tiene su usuario administrador?,3.0,"Creación de Listas Blancas/Negras, liberación de correos y revisión de cuarentena",VERDADERA,Directos,Correo Seguro,,,Directos,PYME
21,Pregunta de única respuesta. Una consultora multinacional necesita reportar una falla crítica en su servicio de Correo Seguro. ¿Qué canal de atención debe utilizar?,1.0,Tel: (601) 7488888 - 7480456 y https://servicio.triara.co/ess.do,VERDADERA,Directos,Correo Seguro,,,Directos,PYME
21,Pregunta de única respuesta. Una consultora multinacional necesita reportar una falla crítica en su servicio de Correo Seguro. ¿Qué canal de atención debe utilizar?,2.0,Enviar un correo al Service Manager personal,FALSA,Directos,Correo Seguro,,,Directos,PYME
21,Pregunta de única respuesta. Una consultora multinacional necesita reportar una falla crítica en su servicio de Correo Seguro. ¿Qué canal de atención debe utilizar?,3.0,Contactar directamente al CEO de la empresa,FALSA,Directos,Correo Seguro,,,Directos,PYME
1,"Pregunta de única respuesta. Estás en una reunión con el gerente de una PYME que dice:
""Necesito cifras claras y comparativas antes de decidir si migro mis líneas a Claro."" ¿Qué respuesta es más efectiva para cerrar la venta?
""Necesito cifras claras y comparativas antes de decidir si migro mis líneas a Claro."" ¿Qué respuesta es más efectiva para cerrar la venta?",1.0,Le cuentas una historia motivacional sobre la importancia de comprar por internet.,FALSO,Especialistas,El Arte de Influir,,,Especialistas,PYME
1,"Pregunta de única respuesta. Estás en una reunión con el gerente de una PYME que dice:
""Necesito cifras claras y comparativas antes de decidir si migro mis líneas a Claro."" ¿Qué respuesta es más efectiva para cerrar la venta?
""Necesito cifras claras y comparativas antes de decidir si migro mis líneas a Claro."" ¿Qué respuesta es más efectiva para cerrar la venta?",2.0,Le presentas un cuadro comparativo con ahorros y beneficios tangibles.,VERDADERO,Especialistas,El Arte de Influir,,,Especialistas,PYME
1,"Pregunta de única respuesta. Estás en una reunión con el gerente de una PYME que dice:
""Necesito cifras claras y comparativas antes de decidir si migro mis líneas a Claro."" ¿Qué respuesta es más efectiva para cerrar la venta?
""Necesito cifras claras y comparativas antes de decidir si migro mis líneas a Claro."" ¿Qué respuesta es más efectiva para cerrar la venta?",3.0,Le envías un video institucional sin explicar detalles.,FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
2,"Pregunta de única respuesta. En una presentación con un cliente PYME, ¿qué factor influye más en su percepción de confianza?",,Tu lenguaje corporal (55%).,VERDADERO,Especialistas,El Arte de Influir,,,Especialistas,PYME
2,"Pregunta de única respuesta. En una presentación con un cliente PYME, ¿qué factor influye más en su percepción de confianza?",,Las palabras que usas (7%).,FALSO,Especialistas,El Arte de Influir,,,Especialistas,PYME
2,"Pregunta de única respuesta. En una presentación con un cliente PYME, ¿qué factor influye más en su percepción de confianza?",,Tu tono de voz (38%).,FALSO,Especialistas,El Arte de Influir,,,Especialistas,PYME
3,Pregunta de única respuesta. Un aliado comercial duda en activar un nueva solución para PYMES. ¿Qué estrategia aplicas para persuadirlo?,1.0,"Decirle que “si no lo hace, tendrá un llamado de atención”.",FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
3,Pregunta de única respuesta. Un aliado comercial duda en activar un nueva solución para PYMES. ¿Qué estrategia aplicas para persuadirlo?,2.0,Ofrecerle un descuento inmediato sin explicación.,FALSO ,Especialistas,El Arte de Influir,,,Especialistas,PYME
