Observable,Id_Observable,Nueva_Habilidad,Perfil,Rol
"Promueve con el cliente reuniones de seguimiento de gestión, realizando check list de la reunión con los temas que se van a tratar.",OBS_00174,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Propone alternativas originales para resolver problemas, considerando tanto las necesidades inmediatas como los objetivos estratégicos.",OBS_00175,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Propone mínimo una mejora de los procesos de trabajo del aliado en el preturno, según los retos identificados en el seguimiento diario.",OBS_00176,ADAPTABILIDAD,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Propone una vez al mes un tema de capacitación que movilice los resultados operativos y comerciales del aliado.,OBS_00177,LIDERAZGO,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Reacciona con calma ante métricas bajas, evitando desmotivaciones visibles.",OBS_00178,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Reacciona con calma ante métricas bajas, evitando frustraciones visibles.",OBS_00178,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Realiza como mínimo 2 preguntas abiertas para generar el dialogo y detectar la necesidad de una manera rápida. En caso de TMK las preguntas deben ser claves y no exceder un numero de preguntas sin foco,OBS_00179,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Realiza como mínimo 2 preguntas abiertas para generar el diálogo y detectar la necesidad de una manera rápida. En caso de TMK las preguntas deben ser claves y no exceder un número de preguntas sin foco.,OBS_00179,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Realiza consultas en las plataformas disponibles de Claro el potencial de los clientes asignados, o la base asignada antes de programar las visitas y gestiones comerciales a realizar.",OBS_00180,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Realiza control y seguimiento de indicadores de productividad en diferentes periodos (3 veces al día) además de utilizar datos recopilados en la operación para sustentar decisiones estratégicas y/o acciones correctivas.,OBS_00181,ANÁLITICA Y TOMA DE DECISIONES,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
Realiza diariamente un mapeo detallado de los procesos operativos y comerciales para identificar áreas de mejora.,OBS_00182,EXCELENCIA,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Realiza el proceso de cierre de la solicitud del cliente de forma eficiente y eficaz, validando que se cumpla con el 100%  general de la venta (digitación,  legalización, instalación, etc.)",OBS_00183,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Realiza el proceso de cierre de la solicitud del cliente de forma rápida, dando paso al siguiente cliente ágilmente.",OBS_00184,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Realiza la planeación mensual y/o semanal, según las metas y requerimientos del canal, programando con anterioridad y agendando las citas y actividades a desarrollar.
",,,,
""",""OBS_00185""",HABILIDAD COMERCIAL,CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS),CONSULTOR,
"Realiza llamadas periódicas o envía mensajes para consultar el estado del servicio y posibles requerimientos futuros. Escucha activamente las inquietudes del cliente y toma medidas preventivas, como programar visitas o coordinar con otras áreas, para ofrecer soluciones antes de que se conviertan en problemas.",OBS_00186,SERVICIO AL CLIENTE,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE
"Realiza mínimo de manera semanal una priorización de la base de clientes de acuerdo con los criterios de priorización definidos (impacto, beneficio, tiempo).",OBS_00187,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Realiza un análisis de mercado, de acuerdo con el sector pertenece el cliente, garantizando mínimo conocer; Tamaño del sector, principales clientes, soluciones de tecnología en tendencia para el sector.",OBS_00188,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Reconoce las ventajas competitivas claves de la oferta, así como las debilidades frente a la competencia, previendo dichas situaciones  por medio de planes de acción.",OBS_00189,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Refleja autocontrol al comunicar sus hallazgos, usando un lenguaje positivo y profesional",OBS_00190,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Refleja autocontrol al comunicar sus hallazgos, usando un lenguaje positivo y profesional.",OBS_00190,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Reformula la objeción para convertirla en una oportunidad. Ofreciendo información adicional o una solución especifica que refuerce el valor del producto. Ejemplo: 'Entiendo / Comprendo que el costo es un factor importante para ti. Sin embargo, nuestro paquete de internet ofrece una velocidad significativamente mayor y una conexión más estable, lo que puede mejorar tu experiencia en línea y aumentar tu productividad'",OBS_00191,HABILIDAD COMERCIAL,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
Responde de manera constructiva aportando a la solución frente a críticas en lugar de defensivamente.,OBS_00192,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Responde las objeciones proporcionando enlaces  y/o mencionándolos, dirigiéndolo a documentos, videos explicativos, remitiendo a la pagina web, que complementan su argumentación.",OBS_00193,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Responde las objeciones proporcionando enlaces a documentos, videos explicativos, remitiendo a la pagina web, que complementan su argumentación.",OBS_00193,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Responde las objeciones proporcionando enlaces a documentos, videos explicativos, remitiendo a la página web, que complementan su argumentación.",OBS_00193,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Revisa de manera detallada el historial del cliente, con base en esta información, elabora mínimo una estrategia de solución alineada a las necesidades y contexto del cliente.
",,,,
""",""OBS_00194""",HABILIDAD COMERCIAL,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
Revisa y actualiza los posibles casos que puedan llegar a afectar a un cliente y mantiene la herramienta de soporte de la operación lista para dicho proceso.,OBS_00195,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Se apalanca en la red interna y externa para consultar información de las bases de empresas.,OBS_00196,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Se asegura de estar alineado a los estándares de experiencia de la compañía, con aspectos como conocer el nombre el cliente, información de la compañía y frases que expresen disposición de servicio.",OBS_00197,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"Se asegura de estar alineado a los protocolos de actuación establecidos por la compañía, con aspectos como conocer el nombre el cliente, información de la compañía y frases que expresen disposición de servicio.",OBS_00197,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
Se conecta al inicio del turno a las plataformas de aprendizaje y comunicación  (Conectados) para informarse sobre campañas vigentes y ofertas a impulsar en la temporada.,OBS_00198,HABILIDADES DIGITALES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Se evidencia esta  informado sobre campañas vigentes y ofertas a impulsar en la temporada, ya que se evidencia consulta de manera permanente la herramienta de comunicación Conectados, manteniéndose actualizado y planificando cómo integrarlas en sus interacciones con los clientes.",OBS_00199,GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"Semanalmente ofrece retroalimentación personalizada a los lideres (Calidad, formación, operación y BackOffice) para mejorar su desempeño.",OBS_00200,LIDERAZGO,CONOCIMIENTOS (ESPECIALISTA COMERCIAL),ESPECIALISTA
"Si dispone de los recursos como volantes, videos, POP, 'speech' de campañas etc, hace un buen uso del mismo, para su contacto inicial.",OBS_00201,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
Si dispone del tiempo en su preturno dedica minimo un porcentaje del tiempo a estudiar las características y beneficios de nuevos productos / PTAR  para poder ofrecer recomendaciones informadas.,OBS_00202,HABILIDAD COMERCIAL,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
Si dispone del tiempo en su preturno dedica mínimo un porcentaje del tiempo a estudiar las características y beneficios de nuevos productos / PTAR  para poder ofrecer recomendaciones informadas.,OBS_00202,HABILIDAD COMERCIAL,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"Si el cliente le menciona como objeción una ventaja de la competencia; Se evidencia que el asesor conoce  los productos de la competencia, para tener mayor argumentos para resaltar las ofertas y productos de Claro.",OBS_00203,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Si el cliente le menciona como objeción una ventaja de la competencia; se evidencia que el asesor conoce  los productos de la competencia, para tener mayor argumentos y resaltar los beneficios y ventajas que tiene las ofertas y productos de Claro.",OBS_00203,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Si el cliente le menciona como objeción una ventaja de la competencia; Se evidencia que el asesor conoce  los productos de la competencia, para tener mayor argumentos y resaltar los beneficios y ventajas que tiene las ofertas y productos de Claro.",OBS_00203,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Si el cliente le menciona como objeción una ventaja de la competencia; Se evidencia que el asesor conoce  los productos de la competencia, para tener mayores argumentos para resaltar las ofertas y productos de Claro.",OBS_00203,GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Si el cliente lo solicita: Presenta ejemplos concretos, estadísticas o historias de éxito relevantes para el cliente.",OBS_00204,HABILIDADES DIGITALES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Si los dispone, hace uso de recursos tecnológicos IA  que su  BPO o la operación le provee para apoyarse en el ejercicio de la venta",OBS_00205,HABILIDADES DIGITALES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Su inicio de contacto se basa en establecer relaciones organizacionales, antes que ofrecer el portafolio de productos.",OBS_00206,HABILIDAD COMERCIAL,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Tiene claro que en su negociación ambas partes deben salir ganando, comprendiendo tanto sus propias necesidades como las de la empresa. Su enfoque busca siempre el beneficio mutuo (win-win), con el objetivo de fortalecer relaciones duraderas con los clientes.",OBS_00207,HABILIDAD COMERCIAL,CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS),CONSULTOR
Tiene identificado el mapa de poder dentro de la cuenta. Mínimo identifica 2 interlocutores claves y decisores de la solución a implementar y genera  una estrategia para abordaje y relacionamiento.,OBS_00208,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Toma decisiones basadas en datos concretos, evaluando tendencias, números e indicadores relevantes para la situación del cliente",OBS_00209,PENSAMIENTO ESTRATÉGICO,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Transforma la objeción para convertirla en una oportunidad. Ofreciendo información adicional o una solución especifica que refuerce el valor del producto. Ejemplo: 'Entiendo / Comprendo que el costo es un factor importante para ti. Sin embargo, nuestro paquete de internet ofrece una velocidad significativamente mayor y una conexión más estable, lo que puede mejorar tu experiencia en línea y aumentar tu productividad'",OBS_00210,HABILIDAD COMERCIAL,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Tras cada interacción, el consultor registra con precisión los detalles en el sistema CRM y envía un correo o mensaje al cliente confirmando los acuerdos y próximas acciones, como citas o ajustes en el servicio.
",,,,
""",""OBS_00211""",PENSAMIENTO ESTRATÉGICO,CONOCIMIENTOS (CUIDADO AL CLIENTE),CUIDADO AL CLIENTE,
"Usa herramientas digitales para un seguimiento personalizado, como CRM o SF, monitoreando el estado de la compra, programando recordatorios automáticos.",OBS_00212,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Utiliza adecuadamente herramientas digitales (meiling, videollamadas, plataformas de contacto, MSM), para hacer los primeros contactos con el cliente para concretar citas y espacios en los cuales pueda iniciar la gestión comercial, no para vender en frio.",OBS_00213,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Utiliza herramientas digitales como  CRM, para análisis de datos y de esta manera segmentar su base de clientes e identificar patrones de compra.",OBS_00214,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Utiliza herramientas digitales en la argumentación como presentaciones interactivas, simuladores de uso del producto o videos demostrativos en tiempo real para destacar beneficios claves.",OBS_00215,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
"Utiliza herramientas externas como redes sociales como: LinkedIn - Instagram , motores de búsqueda y bases de datos digitales para investigar perfiles potenciales.",OBS_00216,HABILIDADES DIGITALES,"CONOCIMIENTOS (CONSULTOR EMPRESAS Y NEGOCIOS (EMPRESAS, NEGOCIOS))",CONSULTOR
Utiliza las herramientas y canales de comunicación como Conectados dispuestos por la organización  para tener a la mano información de productos y procesos.,OBS_00217,HABILIDADES DIGITALES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
Utiliza un tono conversacional amigable pero enérgico y un lenguaje sencillo evitando tecnicismos y centrando siempre su discurso en el producto,OBS_00218,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"Domina y tiene a la mano las herramientas y portafolio de productos, en caso de requerir modificaciones o adiciones en los servicios del cliente. 
",,,,
""",""OBS_00220""",GESTIÓN Y ORGANIZACIÓN,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR,
"El asesor conscientemente transmite sensación de comodidad a través de una distancia y postura respetuosa, o un tono de voz que refleje accesibilidad.",OBS_00221,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor llega a su lugar de trabajo con una actitud positiva, mostrando entusiasmo y disposición para comenzar su jornada laboral.",OBS_00222,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR
"El asesor llega a su lugar de trabajo con una actitud positiva, mostrando entusiasmo y disposición para comenzar su jornada laboral. Saluda a sus compañeros de manera amable.
",,,,
""",""OBS_00222""",GESTIÓN DE EMOCIONES,"CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK,COMERCIAL))",ASESOR,
"Ante un cliente difícil, mantiene la calma y pide al cliente contarle su situación de una forma calmada, mostrando disposición por resolverla.",OBS_00223,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor parafrasea al final del diagnóstico las situaciones o datos más relevantes que el cliente manifiesta, logrando expresar empatía e interés.",OBS_00224,SERVICIO AL CLIENTE,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor, independientemente del resultado de la interacción, logra mantener una postura serena, positiva y amable al finalizar contacto, para recibir al siguiente cliente con la misma disposición alegre.
",,,,
""",""OBS_00225""",GESTIÓN DE EMOCIONES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR,
"Mantiene la calma ante situaciones difíciles, usando un tono de voz controlado, pausado, sin interrumpir el cliente y una postura corporal de apertura.",OBS_00226,GESTIÓN DE EMOCIONES,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
"Utiliza un tono conversacional y un lenguaje sencillo, evitando un discurso genérico y centrándose en el producto.",OBS_00227,GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor, independientemente del resultado de la interacción, logra mantener una postura serena, positiva y amable al finalizar contacto, para contactar al siguiente cliente con la misma disposición alegre.
",,,,
""",""OBS_00228""",GESTIÓN DE EMOCIONES,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR,
"Inicia la conversación con un saludo energético, claro y profesional, acompañado de un comentario personalizado relevante para el cliente.",OBS_00229,HABILIDAD COMERCIAL,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
"El asesor proporciona instrucciones claras y detalladas sobre los siguientes pasos, canales y medios de comunicación que el cliente tendrá en cuenta para gestionar su solicitud exitosamente.",OBS_00231,SERVICIO AL CLIENTE,"CONOCIMIENTOS ASESOR SERVICIO UNIDAD MERCADO MASIVO (CALL, CAV)",ASESOR
Realiza como mínimo 2 preguntas abiertas para generar el dialogo e identificar la necesidad o solicitud de una manera rápida.,OBS_00232,HABILIDAD COMERCIAL,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR
Utiliza las herramientas (Conectados) y canales de comunicación dispuestos por la organización  para tener a la mano información de productos y procesos.,OBS_00233,ADAPTABILIDAD,CONOCIMIENTOS (ASESOR BACKOFFICE (CGV)),ASESOR
"Al finalizar el contacto, realiza 100% de cierres de ordenes en plataforma, emite información de trazabilidad del contacto y cualquier procedimiento es transferido a áreas encargadas.
",,,,
""",""OBS_00234""",GESTIÓN Y ORGANIZACIÓN,CONOCIMIENTOS (ASESOR VENTA Y SERVICIO UNIDAD MERCADO MASIVO (CAV)),ASESOR,
"Ante la identificación de un cliente difícil, mantiene la calma, demostrando interés en la atención, siendo claro, evitando interrupciones y respondiendo de manera empática.",OBS_00235,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Durante el cierre de la venta, el asesor refuerza el acuerdo utilizando lenguaje positivo, con frases como: 'Excelente decisión', 'Estoy seguro de que te irá muy bien con este producto/servicio', 'Gracias por confiar en nosotros'....",OBS_00236,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Durante el manejo de objeciones, el asesor demuestra empatía utilizando frases puente como: 'Entiendo lo que dices', 'Comprendo tu preocupación', 'Es válido lo que mencionas', 'Tiene sentido lo que comentas', 'Te agradezco que compartas eso...con el fin de mantener una comunicación personalizada.",OBS_00237,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Conduce la conversación de forma ordenada, asegurando la comprensión del cliente y el uso efectivo del tiempo. Atiende y responde puntualmente cada objeción, evitando distracciones, para mantener el enfoque en la necesidad y objetivo de la interacción.",OBS_00238,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Aplica de manera estratégica alguna de las técnicas de cierre (informado, alternativo, y/o de beneficios), resume de manera puntual las características de la oferta y corrobora los datos requeridos para el proceso de digitación (antes de finalizar la interacción con el cliente, indaga posibles contactos que puedan ser gestionados como referidos).",OBS_00239,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Si el cliente presenta una objeción (precio, producto, servicio, confianza, tiempo o comparativas), el asesor responde destacando las ventajas competitivas de Claro. Si el cliente se retracta sin dar explicación, el asesor formula preguntas abiertas para indagar el motivo y determinar si la decisión está relacionada con falta de información, de valor percibido o con alguna duda pendiente.",OBS_00240,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Durante la interacción, el asesor garantiza que la información brindada sea coherente y clara, al mostrar interés por la necesidad del cliente, y se expresa de manera cortes, haciendo uso de las netiquetas, con el fin de mantener una comunicación efectiva (Evita tecnicismos).",OBS_00241,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Accede rápidamente a las plataformas digitales (CRM, Salesforce. App de venta etc.) para personalizar el documento con los datos del cliente, garantizando el proceso de digitación de manera integral. En caso de no llegar a un cierre efectivo de la venta, el asesor, registra (tipifica) la causal de no venta.",OBS_00242,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"El asesor garantiza una comunicación clara y directa con el cliente, haciendo uso de; buen tono de voz (según corresponda), redacción, ortografía Etc.",OBS_00243,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Formula preguntas abiertas y personalizadas para identificar la intención y necesidades del cliente, demostrando proactividad al detectar oportunidades adicionales y conectando los beneficios de la oferta frente a la competencia, con el fin de dar solución a lo expresado durante la interacción.",OBS_00244,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Partiendo de la identificación del cliente, el asesor valida el origen del tráfico para confirmar si la oferta aplica y, de no ser así, presenta una alternativa personalizada (regional o por tipo de servicio). Utiliza adecuadamente las herramientas de gestión para consultar la información del cliente y solicita los datos necesarios que permitan confirmar disponibilidad, cobertura y alcance de la oferta de interés.",OBS_00245,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Frente a las objeciones del cliente, conserva la calma y utiliza expresiones respetuosas, evitando interrupciones o reacciones defensivas que puedan afectar la interacción.",OBS_00246,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Inicia la interacción estableciendo una conexión empática con el prospecto, utilizando un saludo profesional, cercano y adaptado; integrando los elementos clave del speech comercial para orientar la conversación hacia la identificación de la intención real del cliente, fortaleciendo la confianza desde el primer contacto.",OBS_00247,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Cuando un cliente menciona la oferta que identifico en los canales digitales, el asesor demuestra conocimiento, consultando y respondiendo con propiedad.",OBS_00248,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Asegura que cada paso del proceso quede completo, garantizando la conformidad del cliente y haciendo un uso efectivo el tiempo.",OBS_00249,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Ante una negativa del cliente la recibe con respeto, agradece la atención sin mostrar incomodidad en tono o palabras, adicional, plantea alternativas o propone un seguimiento.",OBS_00250,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) E-Commerce),ASESOR
"Durante la llamada, el asesor usa pausas o silencios en el momento adecuado para dar espacio al cliente con el fin de que entienda la información brindada, responder o mostrar interés, sin forzar la conversación.",OBS_00251,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Ante un cliente difícil, mantiene la calma hablando en un tono de voz claro, empático, demostrando interés al escuchar el cliente y evitando interrupciones.",OBS_00252,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
El asesor valida o confirma nombre del cliente con el fin de mantener en adelante una conversación personalizada.,OBS_00253,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Consulta de manera ágil las PTAR disponibles en Conectados, para así apoyar su discurso comercial.",OBS_00254,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Durante la llamada, el asesor se anticipa y aborda posibles objeciones antes de que surjan. Si el cliente presenta objeciones (precio, producto, servicio, confianza, tiempo o comparativas), las rebate destacando los beneficios y diferenciales de Claro, incluso si implican un mayor costo. En caso de rechazo, indaga con preguntas abiertas para identificar si la decisión obedece a falta de información, valor percibido o dudas pendientes.",OBS_00255,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Utiliza un tono de voz persuasivo, adaptando el discurso en la presentación de la oferta destacando conocimiento en las ventajas, beneficios, valor diferencial, y utilizando un lenguaje sencillo y fácil de entender para el cliente (Evita tecnicismos).",OBS_00256,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Asegura que cada paso del proceso quede completo, garantizando la conformidad del cliente y haciendo un uso efectivo el tiempo.",OBS_00257,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
"Durante la interacción, el asesor mantiene un tono de voz profesional y adecuado, escucha activamente y responde con claridad y respeto ante comentarios del cliente. No expresa frustración mediante palabras, tono, pausas o actitudes que afecten el desarrollo de la conversación.",OBS_00258,,CONOCIMIENTOS (ASESOR VENTA UNIDAD MERCADO MASIVO (TMK) Inbound),ASESOR
